cmc_rank,CMC_id,name,ticker,web_primary,web_secondary,source_code,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp,med_resp,avg_longevity_days,language:,lastUpdated,mentions,criticality,alexa_rank,geo_dist
1,1,Bitcoin,BTC,https://bitcoin.org/,,https://github.com/bitcoin/bitcoin,bitcoin/bitcoin,github,72112,59013,6242,150.33,360,2440.67,170.67,0.006,17.55,2.9,427.11,C++,0,492320,0.84683,8149,0.268019409
2,1027,Ethereum,ETH,https://www.ethereum.org/,https://en.wikipedia.org/wiki/Ethereum,https://github.com/ethereum/go-ethereum,ethereum/go-ethereum,github,40452,28052,7465,164,45,448,76.67,0.019,13.18,1.45,282.49,Go,0,81168,0.82061,2358,0.327910515
4,1839,BNB,BNB,https://www.binance.com/,,https://github.com/bnb-chain/bsc,bnb-chain/bsc,github,79,71,73,38,5,121,2,0.076,5.44,2.88,13.95,Go,2,0,0.56422,110,0.361854174
5,3408,USD Coin,USDC,https://www.centre.io/usdc,,https://github.com/centrehq/centre-tokens,centrehq/centre-tokens,github,296,298,40,5,0,5.33,1.5,4.305,10.2,4.35,217.58,JavaScript,10,98,0.36061,147967,0.334226723
6,52,XRP,XRP,https://xrpl.org/,,https://github.com/ripple/rippled,ripple/rippled,github,4799,3023,594,35.67,18.67,138,19.33,0.287,28.07,13.39,358.35,C++,2,5453,0.6422,62805,0.348687968
7,4172,Terra,LUNA,https://terra.money/,,https://github.com/terra-project/core,terra-project/core,github,282,134,63,0,0,0,0,301.316,6.26,1.7,185.61,JavaScript,1,3,0.42544,6226,0.420447867
8,2010,Cardano,ADA,https://www.cardano.org,,https://github.com/input-output-hk/cardano-node,input-output-hk/cardano-node,github,2724,748,656,70.33,826.67,363.67,46,0.249,18.18,3.13,193.95,Haskell,0,475,0.64632,13702,0.259726545
9,5426,Solana,SOL,https://solana.com,,https://github.com/solana-labs/solana,solana-labs/solana,github,7744,2223,1090,174,747,1915.33,524.33,0.055,5.46,0.33,156.63,Rust,0,8798,0.77413,3595,0.240443057
10,5805,Avalanche,AVAX,https://avax.network/,https://www.avalabs.org/,https://github.com/ava-labs/avalanchego,ava-labs/avalanchego,github,1126,334,221,30.67,50.33,30.33,4.67,0.037,12,1.58,112.99,Go,0,683,0.56074,7000,0.282130244
11,6636,Polkadot,DOT,https://polkadot.network/,,https://github.com/paritytech/polkadot,paritytech/polkadot,github,6208,1884,725,83.33,960.67,915,135.67,0.01,10.11,0.96,296.26,Rust,0,835,0.69038,22298,0.252104539
12,4687,Binance USD,BUSD,https://www.binance.com/en/busd,https://www.paxos.com/busd/,https://github.com/paxosglobal/busd-contract,paxosglobal/busd-contract,github,82,78,11,1,0,0.33,1.5,3.681,29.34,29.34,318.6,Solidity,14,0,0.12069,110,0.334226723
13,74,Dogecoin,DOGE,http://dogecoin.com/,,https://github.com/dogecoin/dogecoin,dogecoin/dogecoin,github,15491,4684,1663,28.33,14,91.67,9.33,0.031,14.59,0.76,183.1,C++,5,199,0.5686,37234,0.209216048
16,3890,Polygon,MATIC,https://polygon.technology/,,https://github.com/maticnetwork/bor,maticnetwork/bor,github,338,196,202,34.67,74.33,95,18.33,0.024,14.04,3.03,87.98,Go,0,81,0.68323,4107,0.363355855
17,3717,Wrapped Bitcoin,WBTC,https://wbtc.network,,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,WrappedBTC/bitcoin-token-smart-contracts,github,98,103,21,1.5,0,0.33,2,13.132,18.58,10.16,217.84,JavaScript,10,2,0.19913,300491,0.334226723
